Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
1,49157,3609193,986.3700832845,3.3248429774,325.0833333333
0,443,4117118,1521.6955161353,9.4726456711,175.5384615385
1,49157,3764387,945.7051041777,3.1877700141,325.0833333333
0,443,4011532,1561.7474820094,9.4726902341,180.1578947368
1,49157,3672834,969.278764028,3.2672317889,325.0833333333
0,443,4665503,1342.8348454604,8.3592272902,175.5384615385
1,49157,4419626,805.4980217783,2.7151618712,325.0833333333
0,443,4082877,1534.4571977064,9.3071625719,180.1578947368
1,49157,3765249,945.4885984964,3.1870402197,325.0833333333
0,443,4450922,1407.5735319559,8.3128843867,185.027027027
1,49157,4162592,855.2363527341,2.8828191665,325.0833333333
0,443,3955476,1583.8801701742,9.3541207177,185.027027027
1,49157,3808099,934.849645453,3.4137767952,300.0769230769
0,443,2666159,2349.8223474294,14.2527133603,180.1578947368
1,49157,2359627,1508.7130296441,5.0855495381,325.0833333333
0,443,3839381,1631.7734551481,9.6369701262,185.027027027
1,49157,3683694,966.4212065389,3.2575995726,325.0833333333
0,443,4000827,1565.9262447489,9.2480879578,185.027027027
1,49157,3780030,941.7914672635,3.1745779795,325.0833333333
0,443,4763623,1315.1754452441,8.1870458682,175.5384615385
1,49157,4434294,802.8335514064,2.7061805104,325.0833333333
0,443,5248291,1385.593900948,8.1931432537,182.6279069767
1,49157,4945542,719.8402116492,2.4264276797,325.0833333333
0,443,4076973,1536.6792961347,9.0753605678,185.027027027
1,49157,3776145,942.7604077704,3.1778440711,325.0833333333
0,443,4241228,1477.1665187535,8.7238884587,185.027027027
1,49157,4009099,887.9800673418,2.9931912382,325.0833333333
0,443,4096803,1529.2412156504,9.0314325585,185.027027027
1,49157,3946936,901.9654739778,3.0403330584,325.0833333333
0,443,4880280,1490.0784381224,8.8109698624,182.6279069767
1,49157,3620097,983.3990636163,3.3148283043,325.0833333333
0,443,4583798,1366.7705252282,8.0719089279,185.027027027
1,49157,4346802,818.992905589,2.7606502436,325.0833333333
0,443,2510076,2495.9403619651,14.740589528,185.027027027
1,49157,2334976,1524.6409384936,5.1392391185,325.0833333333
0,443,4021548,1808.2589092558,10.692400041,182.6279069767
1,49157,3623671,982.4291443677,3.3115589136,325.0833333333
0,443,3752631,1669.49534873,10.1262287712,180.1578947368
1,49157,3608224,986.634976099,3.3257358745,325.0833333333
0,443,4263086,1705.8065448363,9.8520179982,186.9761904762
1,49157,5951267,747.7399350424,2.5204716912,319.4
0,443,4032507,1553.6240854635,9.1754335454,185.027027027
1,49157,5031037,884.509495756,2.9814926823,319.4
0,443,4824975,1298.4523235872,7.6684335152,185.027027027
1,49157,4599720,773.9601540963,2.608854452,325.0833333333
0,443,4174675,1500.7156245696,9.1025049854,180.1578947368
1,49157,3870911,919.6801476448,3.1000454415,325.0833333333
0,443,5468206,1145.7139690787,6.9492627015,180.1578947368
1,49157,5249926,743.0580926284,2.6667042545,303
0,443,4190529,1735.3417671134,10.4998676778,178.4772727273
1,49157,3920280,908.0984011346,3.0610058465,325.0833333333
0,443,5453154,1148.876411706,7.1518244304,175.5384615385
1,49157,5229369,850.9630894282,3.0596425687,299.4375
0,443,4808242,1302.9710235051,7.6951201707,185.027027027
1,49157,4373030,814.0808546934,2.7440927686,325.0833333333
