Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
0,443,2861251,2189.60168122265,13.2809040521087,180.157894736842
1,49157,2505635,1420.79752238455,4.7892051316333,325.083333333333
0,443,2640989,2372.21737765663,14.3885491382206,180.157894736842
1,49157,2484973,1432.61113903451,4.82902631135228,325.083333333333
0,443,2723577,2300.2837812186,13.5850758028872,185.027027027027
1,49157,2467540,1442.73243797466,4.8631430493528,325.083333333333
0,443,2523390,2482.7711927209,15.0591069949552,180.157894736842
1,49157,2374815,1499.06413762756,5.05302518301426,325.083333333333
0,443,2581419,2426.95974578323,14.3332020102122,185.027027027027
1,49157,2343682,1518.97740393108,5.12014855257667,325.083333333333
0,443,3385694,1850.43302791097,10.928335519985,185.027027027027
1,49157,2961953,1201.90968594032,4.05138096384379,325.083333333333
0,443,4165910,1503.87310335557,8.8816129009028,185.027027027027
1,49157,3957802,899.489160902946,3.03198593562791,325.083333333333
0,443,2678883,2338.66130025089,13.8117267532774,185.027027027027
1,49157,2494593,1427.08650268801,4.81040394164499,325.083333333333
0,443,3192148,1962.62829918914,11.9042099551775,180.157894736842
1,49157,2909039,1223.77183667871,4.12507360678217,325.083333333333
0,443,2967294,2111.35128504287,12.4692733514104,185.027027027027
1,49157,2703170,1316.97229549011,4.43923245670824,325.083333333333
0,443,3506502,1786.68085744711,11.4073797761986,156.625
1,49157,3098830,1148.82068393555,3.87242927169286,325.083333333333
